"년도","구분","일반이용자","운동시설","자전거","주요행사 및 마라톤","특화공원","기타","합계"
"2009년","광나루","1374424","157913","396165","120413","0","42112","2091027"
"2009년","잠실","1860362","69587","481561","163409","0","131459","2706378"
"2009년","뚝섬","1957592","49270","679795","315955","0","887025","3889637"
"2009년","잠원","849218","265643","431169","53960","0","146466","1746456"
"2009년","반포","1093427","147756","464922","182121","0","24576","1912802"
"2009년","이촌","860607","394224","550963","35112","0","32130","1873036"
"2009년","여의도","5883009","30003","1098634","7197837","0","572727","14782210"
"2009년","양화","1229905","11486","596945","9346","0","10041","1857723"
"2009년","망원","2032333","100966","550050","92030","0","123650","2899029"
"2009년","선유도","1101394","0","0","0","0","12748","1114142"
"2009년","난지","1387392","16828","1474442","105886","0","106805","3091353"
"2009년","강서","351032","22470","493122","3665","0","624","870913"
"2010년","광나루","1378248","107401","967040","95084","0","266760","2814533"
"2010년","잠실","1856117","100002","493189","99467","0","248756","2797531"
"2010년","뚝섬","4066798","1073104","1278201","443660","112013","890799","7864575"
"2010년","잠원","730872","449560","754869","38391","0","733652","2707344"
"2010년","반포","1433940","161801","666576","578031","182966","205182","3228496"
"2010년","이촌","1734365","498972","741759","423041","0","87945","3486082"
"2010년","여의도","9545299","112643","1620040","2328205","8035813","1459475","23101475"
"2010년","양화","1181138","103933","772634","29195","0","14409","2101309"
"2010년","망원","3006968","473758","920200","25330","0","123628","4549884"
"2010년","선유도","974818","210","0","73","0","9018","984119"
"2010년","난지","1284094","38026","2040023","200460","895972","326052","4784627"
"2010년","강서","594524","29580","211310","7747","0","1216","844377"
"2011년","광나루","1319660","96233","1109915","109040","0","226621","2861469"
"2011년","잠실","1423360","39266","487872","70409","0","123926","2144833"
"2011년","뚝섬","5526956","2169696","1977511","208395","969895","709741","11562194"
"2011년","잠원","770420","336274","728813","30128","0","787613","2653248"
"2011년","반포","1342340","196066","530109","118500","317407","227361","2731783"
"2011년","이촌","1096020","233866","626737","2300","0","94936","2053859"
"2011년","여의도","9409674","817038","1297669","9100608","8471159","362760","29458908"
"2011년","양화","1356008","117064","844140","11697","0","30427","2359336"
"2011년","망원","1245242","152737","410023","17320","0","56336","1881658"
"2011년","선유도","921931","262","0","0","0","4349","926542"
"2011년","난지","3482371","58227","1601713","256790","1362169","227163","6988433"
"2011년","강서","686360","21113","169975","3419","0","661","881528"
"2012년","광나루","875379","79789","834677","127794","0","123892","2041531"
"2012년","잠실","1466935","34040","557138","32847","0","96855","2187815"
"2012년","뚝섬","6864264","2726779","3637311","166513","2181731","548508","16125106"
"2012년","잠원","831165","317847","554763","51160","0","531672","2286607"
"2012년","반포","1399632","431129","608774","98029","113608","198426","2849598"
"2012년","이촌","1605237","194601","575458","529510","0","60353","2965159"
"2012년","여의도","7074987","793541","2154083","1003833","13144506","208241","24379191"
"2012년","양화","1431268","52554","1125085","26830","0","22128","2657865"
"2012년","망원","1147010","172686","647188","7050","0","66628","2040562"
"2012년","선유도","878892","0","0","0","0","4659","883551"
"2012년","난지","3935854","190825","1466451","318815","1058319","247962","7218226"
"2012년","강서","733901","18414","536185","1651","0","288","1290439"
"2013년","광나루","598078","130269","651242","31880","0","139749","1551218"
"2013년","잠실","1489767","153278","794216","114587","0","221160","2773008"
"2013년","뚝섬","5161329","2507321","3596601","215757","3007244","452120","14940372"
"2013년","잠원","1263542","156195","639723","15585","0","224404","2299449"
"2013년","반포","1055719","361287","612845","24644","58441","119676","2232612"
"2013년","이촌","1533507","490877","859193","411248","0","138958","3433783"
"2013년","여의도","11635571","512037","1503655","2055488","12968293","963836","29638880"
"2013년","양화","1127128","253118","953476","87524","0","37033","2458279"
"2013년","망원","1473402","181649","710958","27334","0","128196","2521539"
"2013년","난지","1594732","236664","909106","178053","2136814","167150","5222519"
"2013년","강서","496357","48561","993015","6180","0","4767","1548880"